,product_code,expiry_date,product_short_desc_storage,product_packaging,product_prescription_reco,supplier,supplier_country,batch_number,product_description_storage_raw
10,DORAISON3T1,2027-12-31,ISONIAZIDE [H],300 mg,comp.,OXALIS LABS,INDIA,,"ISONIAZIDE [H], 300 mg, comp., blister(OXALIS LABS, INDIA)"
11,DORAPYRZ4T1,2027-09-30,PYRAZINAMIDE [Z],400 mg,comp.,OXALIS LABS.BADDI,INDIA,,"PYRAZINAMIDE [Z], 400 mg, comp., blister(OXALIS LABS.BADDI, INDIA)"
12,DORAHRIF7T1,2027-05-31,H 75 mg / R 150 mg,comp.,blister,LUPIN LTD,INDIA,,"H 75 mg / R 150 mg, comp., blister(LUPIN LTD, INDIA)"
13,DORAHRIF5TD1,2026-06-30,H 50 mg / R 75 mg,comp. disp.,blister,LUPIN LTD,INDIA,,"H 50 mg / R 75 mg, comp. disp., blister(LUPIN LTD, INDIA)"
14,DORAHZRI5TD1,2026-06-30,H 50 mg / Z 150 mg / R 75 mg,comp. disp.,blister,LUPIN LTD,INDIA,,"H 50 mg / Z 150 mg / R 75 mg, comp. disp., blister(LUPIN LTD, INDIA)"
15,SMSUGLOE1M-,2028-05-31,GANT D'EXAMEN,latex,u.u. non stérile,QUALATEX POLYPHARM,MALAYSIA,,"GANT D'EXAMEN, latex, u.u. non stérile, moyen(QUALATEX POLYPHARM, MALAYSIA)"
26,DORALPVR5T-,2026-07-31,LPV 200 mg / r 50 mg,comp.,,MYLAN LAB LTD,INDIA,,"LPV 200 mg / r 50 mg, comp.(MYLAN LAB LTD,INDIA)"
28,DORATEEM1T-,2027-06-30,TDF 300 mg / FTC 200 mg,comp.,,MYLAN LAB LTD,INDIA,,"TDF 300 mg / FTC 200 mg, comp.(MYLAN LAB LTD,INDIA)"
29,DORAYIDO3T-,2028-05-31,ZIDOVUDINE [AZT],300 mg,comp.,MYLAN LAB LTD,INDIA,,"ZIDOVUDINE [AZT], 300 mg, comp.(MYLAN LAB LTD,INDIA)"
30,SLASWATE1B1,,EAU DISTILLEE,1 l,fl.,BAKKER-HAVU B.V.,,,"EAU DISTILLEE, 1 l, fl.(BAKKER-HAVU B.V.)"
31,DEXTLUBR8J-,2028-09-30,LUBRIFIANT à usage général,soluble ds l'eau,gel,Optimum Medical Solutions,UK,,"LUBRIFIANT à usage général, soluble ds l'eau, gel, 82g, tube(Optimum Medical Solutions,UK)"
32,DORARALT4T-,2027-06-01,RALTEGRAVIR potassique [RAL],éq. 400 mg base,comp.,MSD IDEA AG,Switzerland,,"RALTEGRAVIR potassique [RAL], éq. 400 mg base, comp.(MSD IDEA AG, Switzerland)"
33,DORAYILN2T-,2029-03-31,AZT 300 mg / 3TC 150 mg / NVP 200 mg,comp.,,MYLAN LAB LTD,INDIA,,"AZT 300 mg / 3TC 150 mg / NVP 200 mg, comp.(MYLAN LAB LTD,INDIA)"
34,DINJWATE1A-,2027-03-31,EAU pour injection,10 ml,amp. plastique,Aculife Healthcare Pvt.Ltd,India,,"EAU pour injection, 10 ml, amp. plastique(Aculife Healthcare Pvt.Ltd, India)"
37,DORARALT4T-,2026-09-30,RALTEGRAVIR potassique [RAL],éq. 400 mg base,comp.,Zhejiang Huahai Pharmaceutical Co.Ltd,China,,"RALTEGRAVIR potassique [RAL], éq. 400 mg base, comp.(Zhejiang Huahai Pharmaceutical Co.Ltd, China)"
39,ELAEHAEE3--,,PHOTOMETRE HEMOGLOBINE [HemoCue Hb 301],tropicalisé,,COPACK GmbH,GERMANY,,"PHOTOMETRE HEMOGLOBINE [HemoCue Hb 301], tropicalisé(COPACK GmbH, GERMANY)"
40,EMEQOTOS1--,,OTOSCOPE,halogène + SPECULUMS,,HEINE Optotechnik GmbH & Co,Germany,,"OTOSCOPE, halogène + SPECULUMS(HEINE Optotechnik GmbH & Co, Germany)"
41,EMEQSTET2--,,STETHOSCOPE,double,2 diaphragmes,Zhuji Kangfu Instrument Machinery,China,,"STETHOSCOPE, double, 2 diaphragmes, adulte / enfant(Zhuji Kangfu Instrument Machinery,China)"
42,PCOLTHER35A,,THERMOMETRE à alcool [Moëller 104614] -30°C-+50C°,,,TROGE MEDICAL GMBH,GERMANY,,"THERMOMETRE à alcool [Moëller 104614] -30°C-+50C°(TROGE MEDICAL GMBH, GERMANY)"
43,EMEQTOUR1--,,GARROT élastique,100 x 1,8 cm°,NP,,,"GARROT élastique, 100 x 1,8 cm°(NP)"
44,SCTDTUGA08-,,SONDE GASTRIQUE,embout conique,125 cm,TYCO HEALTHCARE GROUP LP,USA,,"SONDE GASTRIQUE, embout conique, 125 cm, u.u., CH08(TYCO HEALTHCARE GROUP LP,USA)"
45,SDREBANE104,,BANDE CREPE [Velpeau],10 cm x 4 m,,ANJI ANSHEN SURGICAL DRESSINGS Co.Ltd,CHINA,,"BANDE CREPE [Velpeau], 10 cm x 4 m(ANJI ANSHEN SURGICAL DRESSINGS Co.Ltd, CHINA)"
46,SINSSYDL60-,,SERINGUE,u.u.,Luer,TYCO HEALTHCARE GROUP LP,USA,,"SERINGUE, u.u., Luer, 60 ml(TYCO HEALTHCARE GROUP LP,USA)"
47,,,SERINGUE,u.u.,Luer,TYCO HEALTHCARE GROUP LP,USA,,"SERINGUE, u.u., Luer, 60 ml(TYCO HEALTHCARE GROUP LP,USA)"
48,ELABCYLG0100,,EPROUVETTE,verre,graduée,VITLAB,GERMANY,,"EPROUVETTE, verre, graduée, à bec verseur 100 ml(VITLAB, GERMANY)"
49,SINSCONT5C-,,CONTAINER,aiguilles/seringues,5 l,HINDUSTANSYRINGES & MEDICAL DIVICES LTD,INDIA,,"CONTAINER, aiguilles/seringues, 5 l, carton pr incinération(HINDUSTANSYRINGES & MEDICAL DIVICES LTD,INDIA)"
52,SMSUCONDF1-,2027-04-30,PRESERVATIF FEMININ,lubrifié,170 mm,CUPID LTD,INDIA,,"PRESERVATIF FEMININ, lubrifié, 170 mm, u.u.(CUPID LTD,INDIA)"
53,STSSCONT1S-,,POT A PRELEVEMENT,crachoir,plastique,,,,"POT A PRELEVEMENT, crachoir, plastique, non stérile()"
54,PTOOSCALA1510,,BALANCE sur piles,AC,0-150kg,,,,"BALANCE sur piles, AC, 0-150kg, grad. 100g()"
55,ELABBOTW0250,,PISSETTE,col de cygne,plastique,Fisherbrand,USA,,"PISSETTE, col de cygne, plastique, 250 ml(Fisherbrand, USA)"
56,ESTETIME1--,,MINUTEUR DE TABLE,60 mn,,NP,,,"MINUTEUR DE TABLE, 60 mn(NP)"
57,ELAECD4E1--,,ANALYSEUR CD4 [PARTEC],100-240V,50-60Hz,Partec GmbH,Germany,,"ANALYSEUR CD4 [PARTEC], 100-240V, 50-60Hz(Partec GmbH, Germany)"
58,ELABPIATB--,,[pip.aut.] EMBOUT BLEU,50-1000µl [Eppdf],,Plastibrand,Germany,,"[pip.aut.] EMBOUT BLEU, 50-1000µl [Eppdf](Plastibrand, Germany)"
59,ELABPIATY--,,[pip.aut.] EMBOUT JAUNE,2-200µl [Eppdf],,Plastibrand,Germany,,"[pip.aut.] EMBOUT JAUNE, 2-200µl [Eppdf](Plastibrand, Germany)"
60,SINSCONT2P-,,CONTAINER,regulated medical waste [UN3291],,Fischer Brand,Canada,,"CONTAINER,regulated medical waste [UN3291](Fischer Brand, Canada)"
61,DINJWATE5A-,2027-10-31,EAU pour injection,5 ml,amp. plastique,LABESFAL-Laboratorios Almiro,Portugal,,"EAU pour injection, 5 ml, amp. plastique(LABESFAL-Laboratorios Almiro,Portugal)"
62,,,GLYCEROL ANHYDROUS 2.5L,,,APPLICHEM,,,GLYCEROL ANHYDROUS 2.5L(APPLICHEM)
63,ELABTUCER1-,,[tube à centrifuger,Ø 18 mm] PORTOIR,,NALGENE,USA,,"[tube à centrifuger, Ø 18 mm] PORTOIR(NALGENE,USA)"
64,,,PROPANEDOL 2.5 L,,,REAGENT CHEMICAL SERVICES LIMITED,,,PROPANEDOL 2.5 L(REAGENT CHEMICAL SERVICES LIMITED)
65,,,PARTEC,,,,,,PARTEC
66,STSSBSVVH1-,,[s.prél.sang.] CORPS PORTE TUBE avec éjecteur d'aiguille,,,Greiner bio-one,Austria,,"[s.prél.sang.] CORPS PORTE TUBE avec éjecteur d'aiguille(Greiner bio-one, Austria)"
67,ELABPIAA1000,,PIPETTE AUTOMATIQUE,vol. réglable 100-1000 µl [Eppendorf],,Eppendorf,Germany,,"PIPETTE AUTOMATIQUE, vol. réglable 100-1000 µl [Eppendorf](Eppendorf, Germany)"
68,ELABPIAA0200,,PIPETTE AUTOMATIQUE,vol. réglable 20-200 µl [Eppendorf],,Eppendorf,Germany,,"PIPETTE AUTOMATIQUE, vol. réglable 20-200 µl [Eppendorf](Eppendorf, Germany)"
69,ELABPIAA0100,,PIPETTE AUTOMATIQUE,vol. réglable 10-100 µl [Eppendorf],,Eppendorf,Germany,,"PIPETTE AUTOMATIQUE, vol. réglable 10-100 µl [Eppendorf](Eppendorf, Germany)"
70,ELABMILP1--,,MANCHE PASTEUR + anse,nickel chrome(),,,,,"MANCHE PASTEUR + anse, nickel chrome()"
71,,,SAC A POUBELLE,30 L,,VOUSSERT,France,,"SAC A POUBELLE, 30 L(VOUSSERT, France)"
72,,,[CD4 Analyseur Partec] TRANSFORMATEUR(),,,,,,[CD4 Analyseur Partec] TRANSFORMATEUR()
73,SINSSYDL05-,2030-04-30,SERINGUE,u.u.,Luer,Hindustan syringes & medical service,India,,"SERINGUE, u.u., Luer, 5 ml(Hindustan syringes & medical service , India)"
74,SINSCONT5C-,2029-09-30,CONTAINER,aiguilles/seringues,5 l,HINDUSTANSYRINGES & MEDICAL DIVICES LTD,INDIA,,"CONTAINER, aiguilles/seringues, 5 l, carton pr incinération(HINDUSTANSYRINGES & MEDICAL DIVICES LTD,INDIA)"
75,DINJWATE5A-,2028-05-31,EAU pour injection,5 ml,amp. plastique,LABESFAL-Laboratorios Almiro,Portugal,,"EAU pour injection, 5 ml, amp. plastique(LABESFAL-Laboratorios Almiro,Portugal)"
76,SSDTHIVU20T,2026-09-07,TEST VIH 1 + 2 [Uni-Gold],sér/pl/st,1 test 1206502,TRINITY BIOTECH PLC,IRELAND,,"TEST VIH 1 + 2 [Uni-Gold], sér/pl/st, 1 test 1206502(TRINITY BIOTECH PLC, IRELAND)"
77,DORAEFAV6T-,2028-02-28,EFAVIRENZ [EFV],600 mg,comp.,CIPLA Ltd,INDIA,,"EFAVIRENZ [EFV], 600 mg, comp.(CIPLA Ltd, INDIA)"
80,DORAYILA2T-,2030-02-28,AZT 300 mg / 3TC 150 mg,comp.,,MYLAN LAB LTD,INDIA,,"AZT 300 mg / 3TC 150 mg, comp.(MYLAN LAB LTD,INDIA)"
82,DORAATVR3T-,2028-04-30,ATV 300 mg / r 100 mg,comp.,,MYLAN LAB LTD,INDIA,,"ATV 300 mg / r 100 mg, comp.(MYLAN LAB LTD,INDIA)"
83,DORALAMI1T-,2027-04-30,LAMIVUDINE [3TC],150 mg,comp.,MYLAN LAB LTD,INDIA,,"LAMIVUDINE [3TC], 150 mg, comp.(MYLAN LAB LTD,INDIA)"
84,DORAYILN2T-,2030-04-30,AZT 300 mg / 3TC 150 mg / NVP 200 mg,comp.,,MYLAN LAB LTD,INDIA,,"AZT 300 mg / 3TC 150 mg / NVP 200 mg, comp.(MYLAN LAB LTD,INDIA)"
